Updated 09/18/25 at 06:03pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Rashod Bateman,WR71,WR,BAL,3181,25.8,No,WR74,2463,,0
Elijah Arroyo,TE19,TE,SEA,3122,22.4,Yes,TE17,2611,,0
Evan Engram,TE20,TE,DEN,3105,31.0,No,TE22,2430,,0
Marquise Brown,WR72,WR,KCC,3096,28.3,No,WR71,2614,,0
DJ Giddens,RB48,RB,IND,3083,22.1,Yes,RB48,2528,,0
Jalen Milroe,QB25,QB,SEA,3058,22.8,Yes,QB30,2806,,0
Jack Bech,WR73,WR,LVR,3054,22.8,Yes,WR75,2419,,0
Tua Tagovailoa,QB26,QB,MIA,3008,27.6,No,QB27,2948,,0
Demario Douglas,WR74,WR,NEP,2978,24.8,No,WR77,2377,,0
Pat Bryant,WR75,WR,DEN,2977,22.8,Yes,WR76,2405,,0
Terrance Ferguson,TE21,TE,LAR,2971,22.5,Yes,TE21,2433,,0
Keenan Allen,WR76,WR,LAC,2967,33.4,No,WR65,2707,,0
Cooper Kupp,WR77,WR,SEA,2963,32.3,No,WR73,2468,,0
Ray Davis,RB49,RB,BUF,2957,25.8,No,RB58,2228,,0
Xavier Legette,WR78,WR,CAR,2927,24.6,No,WR81,2259,,0
Dallas Goedert,TE22,TE,PHI,2917,30.7,No,TE23,2413,,0
Rachaad White,RB50,RB,TBB,2910,26.7,No,RB50,2414,,0
Adonai Mitchell,WR79,WR,IND,2907,22.9,No,WR79,2337,,0
Woody Marks,RB51,RB,HOU,2883,24.7,Yes,RB49,2462.99,,0
Joe Mixon,RB52,RB,HOU,2878,29.2,No,RB55,2291,,0
Kyle Monangai,RB53,RB,CHI,2864,23.3,Yes,RB53,2352,,0
Sam Darnold,QB27,QB,SEA,2858,28.3,No,QB26,3308,,0
Najee Harris,RB54,RB,LAC,2857.99,27.5,No,RB51,2388,,0
Tank Bigsby,RB55,RB,PHI,2855,24.0,No,RB56,2271,,0
Ja'Tavion Sanders,TE23,TE,CAR,2850,22.5,No,TE24,2368,,0
Blake Corum,RB56,RB,LAR,2807,24.8,No,RB52,2387,,0
2026 Early 3rd,,PI,,2772,,,,2429,,0
Christian Watson,WR80,WR,GBP,2760,26.4,No,WR78,2346,,0
Tank Dell,WR81,WR,HOU,2755,25.9,No,WR80,2322,,0
Cade Otton,TE24,TE,TBB,2742,26.4,No,TE25,2279,,0
Jalen Royals,WR82,WR,KCC,2717,22.6,Yes,WR86,2083,,0
Dontayvion Wicks,WR83,WR,GBP,2709,24.2,No,WR82,2257,,0
Matthew Stafford,QB28,QB,LAR,2693,37.6,No,QB28,2928,,0
Jonathon Brooks,RB57,RB,CAR,2692,22.2,No,RB59,2185,,0
Jaylen Wright,RB58,RB,MIA,2676,22.5,No,RB61,2075,,0
Trevor Etienne,RB59,RB,CAR,2636,21.2,Yes,RB57,2264,,0
2027 Early 3rd,,PI,,2627,,,,2280,,0
Chigoziem Okonkwo,TE25,TE,TEN,2626.99,26.0,No,TE27,2244,,0
Juwan Johnson,TE26,TE,NOS,2604,29.0,No,TE20,2536,,0
Anthony Richardson,QB29,QB,IND,2590,23.3,No,QB33,2302,,0
Geno Smith,QB30,QB,LVR,2572,34.9,No,QB29,2924,,0
Kendre Miller,RB60,RB,NOS,2568,23.3,No,RB60,2094,,0
Alec Pierce,WR84,WR,IND,2563,25.4,No,WR85,2112,,0
Pat Freiermuth,TE27,TE,PIT,2556,26.9,No,TE28,2124,,0
2026 Mid 3rd,,PI,,2552,,,,2232,,0
Nick Chubb,RB61,RB,HOU,2546,29.7,No,RB54,2292,,0
Christian Kirk,WR85,WR,HOU,2534,28.8,No,WR88,2023,,0
Keaton Mitchell,RB62,RB,BAL,2516,23.7,No,RB62,2001,,0
Joshua Palmer,WR86,WR,BUF,2499,26.0,No,WR87,2042,,0
Jarquez Hunter,RB63,RB,LAR,2458,22.7,Yes,RB67,1907,,0
2027 Mid 3rd,,PI,,2452,,,,2085,,0
Will Shipley,RB64,RB,PHI,2442,23.0,No,RB63,1954,,0
Calvin Austin III,WR87,WR,PIT,2436,26.5,No,WR83,2144,,0
Jonnu Smith,TE28,TE,PIT,2430,30.1,No,TE30,2078,,0
Tahj Brooks,RB65,RB,CIN,2414,23.4,Yes,RB66,1927,,0
2028 Early 3rd,,PI,,2402,,,,2026,,0
Zach Ertz,TE29,TE,WAS,2398,34.8,No,TE26,2261,,0
Theo Johnson,TE30,TE,NYG,2396,24.6,No,TE31,2033,,0
Devin Neal,RB66,RB,NOS,2388,22.1,Yes,RB68,1898,,0
Brashard Smith,RB67,RB,KCC,2379,22.4,Yes,RB65,1926.99,,0
Michael Mayer,TE31,TE,LVR,2374,24.2,No,TE29,2088,,0
